                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.3376,                0.96418,                0.93308,                0.49586,                0.37147,                0.38432,                0.22847,                 1.3144,                0.96236,                0.93485,                0.00505,                0.00505,                0.00505
                     52,                 1.3294,                0.95727,                0.93171,                0.48554,                 0.3735,                0.38234,                0.22814,                 1.3086,                0.96401,                0.93236,               0.004951,               0.004951,               0.004951
                     53,                 1.3317,                 0.9565,                0.93176,                0.48919,                0.37013,                0.38086,                0.22711,                  1.307,                0.96396,                0.93179,               0.004852,               0.004852,               0.004852
                     54,                 1.3227,                0.95294,                0.92943,                 0.4813,                0.37827,                0.38316,                0.22794,                 1.3054,                0.95875,                0.93191,               0.004753,               0.004753,               0.004753
                     55,                 1.3253,                0.94891,                0.93036,                0.48628,                 0.3778,                0.38555,                 0.2302,                 1.3087,                0.95523,                0.93403,               0.004654,               0.004654,               0.004654
                     56,                 1.3232,                0.94686,                0.92933,                0.49029,                0.37695,                0.38687,                0.23167,                 1.3042,                0.95319,                0.93009,               0.004555,               0.004555,               0.004555
                     57,                 1.3187,                0.94238,                0.92785,                0.49484,                0.37129,                0.38775,                0.23168,                 1.3031,                0.95266,                0.93134,               0.004456,               0.004456,               0.004456
                     58,                 1.3196,                0.94101,                0.92881,                0.48552,                 0.3789,                0.38477,                0.23024,                 1.3038,                0.95322,                0.93053,               0.004357,               0.004357,               0.004357
                     59,                 1.3241,                 0.9443,                0.92984,                0.49666,                0.37263,                0.38832,                0.23221,                 1.3028,                0.95206,                0.93007,               0.004258,               0.004258,               0.004258
                     60,                 1.3222,                0.94052,                0.92665,                0.48639,                0.37971,                0.38794,                0.23185,                 1.2971,                0.95068,                0.92824,               0.004159,               0.004159,               0.004159
                     61,                  1.316,                0.93471,                 0.9245,                0.49025,                 0.3823,                  0.393,                0.23506,                 1.2982,                0.94877,                0.92847,                0.00406,                0.00406,                0.00406
